,,slope,intercept
4,11,0.5142345995983979,0.03384029006191103
4,12,0.4610084670281662,0.07128885466788959
4,13,0.4295189874380939,0.1032620755419495
4,14,0.46691222360201007,0.05238595420063963
4,15,0.4800413874695725,0.011691558694123472
4,16,0.43653180491712085,0.04383241634598317
4,17,0.47899280063999183,0.06548854589219666
4,18,0.4462404879279571,0.05918099801731003
4,19,0.47698594466586164,0.025542127107843204
4,20,0.4955405629631839,0.039168378703947404
4,21,0.5897279166880358,-0.0846624375491285
4,22,0.5650793009749644,-0.083710193292026
4,23,0.5483749909312777,-0.05809142449326615
5,0,0.5413287932313032,-0.01950699285344415
5,1,0.5477017945042526,-0.00992869491162185
5,2,0.5806717310708539,-0.030355784466317703
5,3,0.5761497431887423,-0.03000058779800896
5,4,0.5121435584810097,0.04512509898360029
5,5,0.5699315062105392,-0.02770930736397592
5,6,0.5077938255486225,0.05290752333468518
5,7,0.49654727801656595,0.052707020841288754
5,8,0.544427271647518,-0.013902505467810244
5,9,0.4826087839708362,0.05796952527945676
5,10,0.5109107268219267,0.034060086172710335
5,11,0.5070654251288347,0.03862176059278566
5,12,0.4587049698390036,0.07048203106253847
5,13,0.43097113453980834,0.10179676413846517
5,14,0.46883369171034595,0.05178191270018717
5,15,0.4907377768559788,0.004006080166831849
5,16,0.4484421023516686,0.03436596656550689
5,17,0.4810409338611504,0.06423900114765568
5,18,0.4600089703260125,0.04639923779388444
5,19,0.4813590891086627,0.042883962676928844
5,20,0.4963412592130165,0.03859803196081879
5,21,0.5595762550350604,-0.03923611839286967
5,22,0.5649218442176838,-0.08279324674761457
5,23,0.5516446038668172,-0.06476894794462618
6,0,0.5490026535891734,-0.02920811561300829
6,1,0.5552126083265131,-0.02023426916344817
6,2,0.5916245178842179,-0.04476167710901546
6,3,0.5940890632105256,-0.047685480376412515
6,4,0.5124115592791855,0.044884373124964294
6,5,0.5906814990758054,-0.046277931205356504
6,6,0.5098338471781341,0.05038062816708766
6,7,0.4984597561273544,0.05013299425971374
6,8,0.5580738354687189,-0.026512811180737117
6,9,0.5207815959496774,0.010087388722247959
6,10,0.5076753173210896,0.03771661403701798
6,11,0.495461070484091,0.04804315343388149
6,12,0.45372525689950166,0.07088972928508941
6,13,0.43314433882210174,0.09893286677321173
6,14,0.46939958194379366,0.0508895008040392
6,15,0.49497737959515553,0.0023440297636887486
6,16,0.451428065969813,0.035510839142494866
6,17,0.4810876390832371,0.06445509511898728
6,18,0.46386169114588516,0.04666266686713194
6,19,0.48833445316785845,0.03470558825374981
6,20,0.4978977582044758,0.0364204172197955
6,21,0.5597735552583458,-0.03952792758179524
6,22,0.5683756832430117,-0.08670573751939148
6,23,0.531974329995358,-0.02113693717769194
7,0,0.5567364328894403,-0.030301083542879637
7,1,0.5622743300091427,-0.023011342306656912
7,2,0.5018867231858192,0.05394179261598708
7,3,0.600095926402154,-0.04889879263232422
7,4,0.5134957804068664,0.04308241967232607
7,5,0.5796095100690573,-0.030324659043617475
7,6,0.5101765781042291,0.04938263456276448
7,7,0.5032263842651672,0.03605292547757588
7,8,0.547172780890119,-0.012582442753889644
7,9,0.4817301467803095,0.05814366674165572
7,10,0.5073717382217028,0.037646370382698746
7,11,0.5024270765606824,0.03859489064494942
7,12,0.44710906015891067,0.0775103189577081
7,13,0.43251505854768785,0.09893164705611923
7,14,0.4689536997170856,0.0510601533601347
7,15,0.5023794610202537,-0.004014432643083987
7,16,0.4601792726369047,0.027866972251501754
7,17,0.4804261867254744,0.06426248297510051
7,18,0.44812662698005507,0.08125308336547366
7,19,0.4887690729215215,0.03514620209806485
7,20,0.4978464058905111,0.03660310705871872
7,21,0.5935901606275921,-0.08661202371052046
7,22,0.5678905336010904,-0.08505347025192356
7,23,0.5333922451926785,-0.022322535057994752
8,0,0.5421326889491161,-0.013306763617649708
8,1,0.545796730385822,-0.007721144279306369
